Fehlerkategorie;Techn. Platz;Techn. Identitätsnr.;Störungsbeginn;Massnahme;Fehlertext;Ursache;Traktion;Anlagenart;Ort;Dauer (in Std.)
C;01-0340-2-001-01;W1003;27.11.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0
C;01-0901-2-001-02;W3001;28.11.18;;Kein Block;Technische Störung;;;;0
B;01-0340-2-001-01;W0043;26.11.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Du Theatre;0
X;1;;19.11.18;Programmiert;sonstiges;unbekannt /sonstiges;;;;0
C;01-0337-2-001-01;W2005;16.11.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;01-0340-2-001-01;W1010;12.11.18;;Unbekannter Fehler;;Tr;Elektrische Weiche;Hirschengraben;1
A;03-0101-025-01-2;;08.11.18;Weitere Aktionen;Fremdeinwirkungen;;;;;4
C;03-0101-011-05;W1105;09.11.18;;Entgleisung;Technische Störung;Tb;Elektrische Weiche;Bahnhof West;0
C;01-9001-2-001-01;HNSA600/1;07.11.18;;Ausserhalb Toleranz;;Tr;Elektrischer Weichensteuerung;Eigerplatz;16
C;01-0340-2-001-01;W1016;07.11.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;National;0
C;01-0340-2-001-01;W1016;06.11.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;National;0
C;01-0337-2-001-01;W2002;05.11.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;01-0337-2-001-01;W2005;05.11.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;01-0903-2-001-01;W0211;05.11.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Friedheim;0
C;03-0101-026-01-2;;01.11.18;;Fahrleitungsschaden;unbekannt /sonstiges;;;;0
C;01-0340-2-001-01;W1000;31.10.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Spitalgasse;0
C;01-0340-2-001-01;W1000;30.10.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Spitalgasse;0
C;01-9001-2-001-01;HNSA600/1;30.10.18;Eingestellt;Ausserhalb Toleranz;;Tr;Elektrischer Weichensteuerung;Eigerplatz;2
C;01-0340-2-001-01;W0049;29.10.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Kornhaus;1.5
C;01-0340-2-001-01;W0049;29.10.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Kornhaus;0
C;01-9000-2-001-01;HNSA502/1;25.10.18;Gewartet;kein Fehler;;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1
C;01-0340-2-001-01;W1004;27.10.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Bahnhof;3.6
C;01-0703-2-001-01;W2006;27.10.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Bümpliz;2
B;03-0101-027-01-2;;25.10.18;;Entgleisung;Vandalenschaden;;;;0
C;01-0339-2-001-01;W0185;24.10.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Kocherpark;0
D;03-0101-012-09;;21.10.18;;Fremdeinwirkungen;Vandalenschaden;;;;19
C;01-0340-2-001-01;W0049;22.10.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Kornhaus;0
C;01-0340-2-001-01;W0049;23.10.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Kornhaus;0
C;01-0340-2-001-01;W1009;18.10.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1012;18.10.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0901-2-001-01;W3000;18.10.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Wankdorf Bahnhof;0
A;03-0101-011-01-1;;16.10.18;Ausgetauscht;Fahrleitungsschaden;Fehlmanipulation;;;;5.2
A;03-0101-011-01-1;;17.10.18;;Fahrleitungsschaden;Drittverschulden;;;;0
C;01-0341-2-001-01;EXW0101;16.10.18;;Block nicht gelöscht;Technische Störung;;;;0
C;01-0341-2-001-01;EXW0101;15.10.18;;Block nicht gelöscht;Technische Störung;;;;0
X;03-0101-090-14;AP9001;;Gewartet;kein Fehler;Geplante Instandhaltung;;;;0
C;01-0340-2-001-01;W1010;09.10.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1014;09.10.18;;Von Hand gestellt;unbekannt /sonstiges;Tr;Elektrische Weiche;Bundesgasse;0
C;01-0340-2-001-01;W1003;09.10.18;;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Bahnhof;0
C;01-0340-2-001-01;W1010;05.10.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
D;03-0101-012-05;W1205;01.10.18;Revidiert;Entgleisung;;Tb;Elektrische Weiche;Bahnhof Ost;5
B;01-0340-2-001-01;W1003;04.10.18;;Kein Block;unbekannt /sonstiges;Tr;Elektrische Weiche;Bahnhof;0
C;01-0340-2-001-01;W1010;03.10.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
X;01-0340-2-001-01;W0049;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrische Weiche;Kornhaus;0
X;01-0340-2-001-01;STW0002;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Theatre;0
X;01-0340-2-001-01;STW0003;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Marktgasse;0
X;01-0341-2-001-01;EXSTW0007;;Gewartet;kein Fehler;Geplante Instandhaltung;;;;0
X;01-0341-2-001-01;EXSTW0008;;Gewartet;kein Fehler;Geplante Instandhaltung;;;;0
X;01-0340-2-001-01;STW0039;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Spitalgasse;0
X;01-0340-2-001-01;STW0042;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Bahnhof;0
X;01-0340-2-001-01;STW0043;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Bahnhof;0
X;01-0340-2-001-01;STW0045;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Schwanengasse;0
X;01-0340-2-001-01;STW0048;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Hirschengraben;0
X;01-0340-2-001-01;STW0049;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Hirschengraben;0
X;01-0340-2-001-01;STW0051;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Hirschengraben;0
X;01-0340-2-001-01;STW0053;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Bundesgasse;0
X;01-0340-2-001-01;STW0055;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;National;0
C;01-0340-2-001-01;W1010;02.10.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1003;01.10.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0
C;01-0340-2-001-01;W1010;28.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1014;01.10.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Bundesgasse;0
C;03-0101-011-05;W1102;28.09.18;;Elektrische Störung;Technische Störung;Tb;Elektrische Weiche;Bahnhof West;0
C;03-0101-004-01-1;;26.09.18;;Fremdeinwirkungen;Höhere Gewalt;;;;0
C;01-0803-2-001-01;W2010;25.09.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Holenacker;0
C;01-0903-2-001-01;W0211;25.09.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Friedheim;0
C;03-0101-012-01-2;;25.09.18;;Fremdeinwirkungen;Vandalenschaden;;;;0
C;03-0101-022-01-2;;23.09.18;;Fremdeinwirkungen;Höhere Gewalt;;;;0
C;01-0903-2-001-01;W0211;24.09.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Friedheim;0
C;01-0340-2-001-01;W1010;24.09.18;;Von Hand gestellt;Doppelmeldung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1010;24.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0703-2-001-01;W2006;21.09.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Bümpliz;0
C;01-0340-2-001-01;W1003;20.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0
C;01-0902-2-001-01;HNP0105;17.09.18;Weitere Aktionen;unbekannter Fehler;Technische Störung;Tr;Elektrischer Weichensteuerung;Guisanplatz;29
C;03-0101-026-01-2;;19.09.18;;Fahrleitungsschaden;unbekannt /sonstiges;;;;0
B;01-0340-2-001-01;W1010;19.09.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
X;03-0101-091-12;#NAME?;;Gewartet;kein Fehler;Geplante Instandhaltung;;;;0
X;01-0340-2-001-01;HNP0043;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Du Theatre;0
X;01-0340-2-001-01;HNP0045;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Marktgasse;0
X;01-0340-2-001-01;HNP0049;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Kornhaus;0
X;01-0341-2-001-01;HNP0101;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Casinoplatz;0
X;01-0902-2-001-01;HNP0105;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Guisanplatz;0
X;01-0339-2-001-01;HNP0185;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Kocherpark;0
X;01-0339-2-001-01;HNP0188;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Kocherpark;0
X;01-0303-2-001-01;HNP0208;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Weissenbühl;0
X;01-0903-2-001-01;HNP0211;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Friedheim;0
X;01-0903-2-001-01;HNP0239;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Wabern;0
X;01-0341-2-001-01;HNP0274;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Burgernziel;0
X;01-0342-2-001-01;HNP0301;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Egghölzli;0
X;01-0802-2-001-01;HNP0304;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Saali;0
X;01-0340-2-001-01;HNP1000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Spitalgasse;0
X;01-0340-2-001-01;HNP1003;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Markthalle;0
X;01-0340-2-001-01;HNP1006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Schwanengasse;0
X;01-0340-2-001-01;HNP1009;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Wallgasse;0
X;01-0340-2-001-01;HNP1014;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Bundesgasse;0
X;01-0340-2-001-01;HNP1016;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;National;0
X;01-0338-2-001-01;HNP2000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Brunnmatt;0
X;01-0337-2-001-01;HNP2002;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Unterführung;0
X;01-0703-2-001-01;HNP2006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Bümpliz;0
X;01-0803-2-001-01;HNP2010;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Holenacker;0
X;01-0803-2-001-01;HNP2112;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Brünnen;0
X;01-0901-2-001-01;HNP3000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Wankdorf-Bahnhof;0
X;01-0902-2-001-01;HNP3002;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Papiermühle;0
X;01-0902-2-001-01;HNP3006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Guisanplatz;0
X;01-9000-2-001-01;HNSA502/1;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;0
X;01-9000-2-001-01;HNSA502/2;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;0
X;01-9000-2-001-01;HNSA502/3;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;0
X;01-9001-2-001-01;HNSA600/1;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Eigerplatz;0
X;01-0303-2-001-01;HNP5100;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Eigerplatz;0
X;01-0303-2-001-01;HNP5102;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichensteuerung;Eigerplatz;0
X;01-0803-2-001-03;HCP2112;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Brünnen;0
X;01-0338-2-001-03;HCP2000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Brunnmatt;0
X;01-0703-2-001-03;HCP2006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Bümpliz;0
X;01-0340-2-001-03;HCP1014;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Bundesgasse;0
X;01-0341-2-001-03;HCP0274;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Burgernziel;0
X;01-0340-2-001-03;HCP0043;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Du Theatre;0
X;01-0342-2-001-03;HCP0301;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Egghölzli;0
X;01-0903-2-001-03;HCP0211;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Friedheim;0
X;01-0902-2-001-03;HCP3006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Guisanplatz;0
X;01-0902-2-001-03;HCP0105;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Guisanplatz;0
X;01-0907-2-001-03;HCP4004;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Guisanplatz;0
X;01-0803-2-001-03;HCP2010;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Holenacker;0
X;01-0339-2-001-03;HCP0185;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Kocherpark;0
X;01-0339-2-001-03;HCP0188;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Kocherpark;0
X;01-0340-2-001-03;HCP0049;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Kornhaus;0
X;01-0340-2-001-03;HCP1003;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Markthalle;0
X;01-0340-2-001-03;HCP1016;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;National;0
X;01-0902-2-001-03;HCP3002;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Papiermühle;0
X;01-0802-2-001-03;HCP0304;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Saali;0
X;01-0340-2-001-03;HCP1006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Schwanengasse;0
X;01-0340-2-001-03;HCP1000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Spitalgasse;0
X;01-0337-2-001-03;HCP2002;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Unterführung;0
X;01-0340-2-001-03;HCP1009;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Wallgasse;0
X;01-0901-2-001-03;HCP3000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Wankdorf Bahnhof;0
X;01-0303-2-001-03;HCP0208;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Weissenbühl;0
X;01-9001-2-001-03;HCP5000;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Depot Eiger;0
X;01-9001-2-001-03;HCP5006;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Depot Eiger;0
X;01-0303-2-001-03;HCP5100;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Eigerplatz;0
X;01-0341-2-001-03;HCP0101;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Weichenheizungssteuerung;Casino;0
C;01-0337-2-001-01;W2002;14.09.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;03-0101-026-01-2;;12.09.18;;sonstiges;unbekannt /sonstiges;;;;2
C;01-0337-2-001-01;W2002;12.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;01-0337-2-001-01;W2002;12.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;03-0101-006-01-2;;10.09.18;Weitere Aktionen;Entgleisung;Technische Störung;;;;1
D;01-0340-2-001-03;HCP1009;11.09.18;Ausgetauscht;unbekannter Fehler;Technische Störung;Tr;Weichenheizungssteuerung;Wallgasse;31
C;03-0101-013-01;;10.09.18;;Fremdeinwirkungen;Drittverschulden;;;;4.4
C;01-0340-2-001-01;W1010;10.09.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
X;01-0902-2-001-01;STW0010;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0902-2-001-01;STW0011;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0341-2-001-01;STW0033;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Burgernziel;0
X;01-0342-2-001-01;STW0035;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Egghölzli;0
X;01-0802-2-001-01;STW0037;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Saali;0
X;01-0901-2-001-01;STW0071;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Wankdorf Bahnhof;0
X;01-0902-2-001-01;STW0073;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0902-2-001-01;STW0075;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
X;01-0902-2-001-01;STW0077;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Elektrischer Weichenantrieb;Guisanplatz;0
C;03-0101-009;;03.09.18;;sonstiges;Höhere Gewalt;;;;0
